rank,distance_m,elapsed_time_s,moving_time_s,start_elevation_m,end_elevation_m,net_dz_m,ascent_crossed_m,descent_m,mean_speed_km_h,max_speed_km_h,max_free_speed_km_h,min_speed_before_stop_km_h,braking_constrained,braking_energy_j,braking_distance_m,active_constraints,braking_substeps,restart_count,distance_to_5kmh_m,distance_to_1kmh_m,distance_to_030ms_m,surface_mix,surface_assumed_share,termination,stop_reason,start_lat,start_lon,end_lat,end_lon,start_offset_m,roads,edges_used,osm_way_ids,start_osm_url,edge_ids,scenario
1,4494.8,490.5,490.5,1636.1,1355.9,-280.3,15.9,296.2,32.99,55.12,55.12,0.09,True,52020.6,319.9,19,873,0,4493.2,4494.8,4494.8,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.052416,6.076533,45.047246,6.084524,0.0,Rue de Piégut > Rue de la Piscine > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,18,49164994;186907705;935439941;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,paved_reference
2,4179.0,450.5,450.5,1636.1,1378.5,-257.6,17.8,275.4,33.39,55.12,55.12,0.36,True,59036.5,351.0,22,949,0,4178.7,4179.0,4179.0,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.052416,6.076533,45.05079,6.084685,0.0,Rue de Piégut > Rue de la Piscine > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue de la Grande Fontaine,17,49164994;186907705;935439941;187059537;186901645;186901646;760412724;760412717,https://www.openstreetmap.org/way/49164994,osm-49164994-0-forward;osm-49164994-1-forward;osm-49164994-2-forward;osm-186907705-1-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse,paved_reference
3,3809.8,387.6,387.6,1608.5,1355.9,-252.6,12.3,264.9,35.39,55.12,55.12,0.09,True,47274.7,270.3,18,760,0,3808.1,3809.7,3809.7,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.057327,6.077078,45.047246,6.084524,0.0,Rue du Col > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,13,49164999;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,paved_reference
4,3679.7,397.9,397.9,1589.3,1355.9,-233.4,12.4,245.8,33.29,55.12,55.12,0.09,True,41286.8,244.5,16,687,0,3678.0,3679.6,3679.6,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.05581,6.077537,45.047246,6.084524,0.0,service > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G,17,1018237136;560199123;1354478669;935439941;187059537;186901645;186901646;760412724;222919304,https://www.openstreetmap.org/way/1018237136,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412724-2-forward;osm-222919304-0-forward,paved_reference
5,3493.9,347.7,347.7,1608.5,1378.5,-230.0,14.1,244.1,36.18,55.12,55.12,0.36,True,54290.6,301.5,21,836,0,3493.7,3493.9,3493.9,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.057327,6.077078,45.05079,6.084685,0.0,Rue du Col > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue de la Grande Fontaine,12,49164999;187059537;186901645;186901646;760412724;760412717,https://www.openstreetmap.org/way/49164999,osm-49164999-0-reverse;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse,paved_reference
6,3363.8,358.0,358.0,1589.3,1378.5,-210.8,14.3,225.0,33.83,55.12,55.12,0.36,True,48302.7,275.6,19,763,0,3363.5,3363.8,3363.8,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.05581,6.077537,45.05079,6.084685,0.0,service > D 211e > Rue Sainte Marie > Rue du Pissaille > D 211G > Rue de la Grande Fontaine,16,1018237136;560199123;1354478669;935439941;187059537;186901645;186901646;760412724;760412717,https://www.openstreetmap.org/way/1018237136,osm-1018237136-0-reverse;osm-560199123-2-forward;osm-1354478669-0-forward;osm-935439941-0-forward;osm-187059537-0-forward;osm-187059537-1-forward;osm-187059537-2-forward;osm-186901645-1-reverse;osm-186901645-0-reverse;osm-186901646-3-reverse;osm-186901646-2-reverse;osm-186901646-1-reverse;osm-186901646-0-reverse;osm-760412724-0-forward;osm-760412724-1-forward;osm-760412717-0-reverse,paved_reference
7,2798.0,284.3,284.3,1047.6,831.3,-216.3,23.2,239.5,35.43,55.54,55.54,0.28,True,30620.5,223.4,16,660,0,2797.4,2798.0,2798.0,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.119779,6.043061,45.128112,6.047551,0.0,Route de Sardonne > D 44B > D 44 > Route du Boulangeard,4,39182590;222916418;584403068;181714594,https://www.openstreetmap.org/way/39182590,osm-39182590-0-reverse;osm-222916418-0-reverse;osm-584403068-0-reverse;osm-181714594-0-forward,paved_reference
8,2798.0,284.3,284.3,1047.6,809.5,-238.1,30.7,268.7,35.43,55.54,55.54,0.28,True,30620.5,223.4,16,660,0,2797.4,2798.0,2798.0,asphalt_good=100%,0.0,definitive_stop,definitive_stop,45.119779,6.043061,45.124813,6.04,0.0,Route de Sardonne > D 44B > D 44,4,39182590;222916418;584403068;39063955,https://www.openstreetmap.org/way/39182590,osm-39182590-0-reverse;osm-222916418-0-reverse;osm-584403068-0-reverse;osm-39063955-0-reverse,paved_reference
9,2700.8,272.5,272.5,1216.6,968.4,-248.2,12.4,260.6,35.69,63.63,63.66,4.3,True,85364.5,479.9,32,1044,0,1856.9,,,asphalt_good=100%,0.0,no_admissible_continuation,route_end,45.157599,6.073429,45.149578,6.054621,0.0,D 43a,19,1082733498;1082749713;1082749716;1082749715;1082749714;1082749720;1082749721;236754704,https://www.openstreetmap.org/way/1082733498,osm-1082733498-2-forward;osm-1082749713-0-forward;osm-1082749713-1-forward;osm-1082749713-2-forward;osm-1082749713-3-forward;osm-1082749716-0-forward;osm-1082749715-0-forward;osm-1082749715-1-forward;osm-1082749715-2-forward;osm-1082749715-3-forward;osm-1082749715-4-forward;osm-1082749714-0-forward;osm-1082749720-1-reverse;osm-1082749720-0-reverse;osm-1082749721-0-forward;osm-236754704-0-forward;osm-236754704-1-forward;osm-236754704-2-forward;osm-236754704-3-forward,paved_reference
10,2642.0,271.1,271.1,1195.2,980.0,-215.2,8.0,223.2,35.08,68.89,69.14,14.35,True,70739.6,492.5,28,1168,0,,,,asphalt_good=100%,0.0,network_end,route_end,45.055265,6.054072,45.069866,6.053394,0.0,Chemin Louis Frederic Vieux > Route de Maronne > Place de la Fontaine > Route de Maronne > D 211a,13,483124975;232729093;1093032921;1093032922;1093032929;1093032928;1148550235;1148550234;187058987,https://www.openstreetmap.org/way/483124975,osm-483124975-0-reverse;osm-232729093-2-forward;osm-1093032921-0-forward;osm-1093032922-0-forward;osm-1093032929-1-forward;osm-1093032929-2-forward;osm-1093032928-0-forward;osm-1093032928-1-forward;osm-1148550235-0-forward;osm-1148550235-1-forward;osm-1148550235-2-forward;osm-1148550234-0-forward;osm-187058987-0-forward,paved_reference
